Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-1401.58073779,0.0,0.0,1401.58073779,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-2687.53045442,0.0,0.0,2687.53045442,0.04,-0.019999999553,0.0,0.0,0.0
2,0.06,-2913.07693813,0.0,0.0,2913.07693813,0.06,-0.0299999993294,0.0,0.0,0.0
3,0.09,-3002.35552310,0.0,0.0,3002.35552310,0.09,-0.0450000017881,0.0,0.0,0.0
4,0.1125,-3050.12484455,0.0,0.0,3050.12484455,0.1125,-0.0562499985099,0.0,0.0,0.0
5,0.135,-3091.49097522,0.0,0.0,3091.49097522,0.135,-0.0675000026822,0.0,0.0,0.0
6,0.16875,-3146.33877999,0.0,0.0,3146.33877999,0.16875,-0.0843750014901,0.0,0.0,0.0
7,0.1940625,-3184.17360104,0.0,0.0,3184.17360104,0.1940625,-0.097031250596,0.0,0.0,0.0
8,0.219375,-3220.09652463,0.0,0.0,3220.09652463,0.219375,-0.109687499702,0.0,0.0,0.0
9,0.2446875,-3254.66498166,0.0,0.0,3254.66498166,0.2446875,-0.122343748808,0.0,0.0,0.0
10,0.27,-3288.32319600,0.0,0.0,3288.32319600,0.27,-0.135000005364,0.0,0.0,0.0
11,0.2953125,-3321.36204824,0.0,0.0,3321.36204824,0.2953125,-0.14765624702,0.0,0.0,0.0
12,0.320625,-3354.02564634,0.0,0.0,3354.02564634,0.320625,-0.160312503576,0.0,0.0,0.0
13,0.3459375,-3386.46435686,0.0,0.0,3386.46435686,0.3459375,-0.172968745232,0.0,0.0,0.0
14,0.37125,-3418.81712280,0.0,0.0,3418.81712280,0.37125,-0.185625001788,0.0,0.0,0.0
15,0.3965625,-3451.22299379,0.0,0.0,3451.22299379,0.3965625,-0.198281243443,0.0,0.0,0.0
16,0.421875,-3483.78812652,0.0,0.0,3483.78812652,0.421875,-0.2109375,0.0,0.0,0.0
17,0.4471875,-3516.59507493,0.0,0.0,3516.59507493,0.4471875,-0.223593756557,0.0,0.0,0.0
18,0.4725,-3549.73266584,0.0,0.0,3549.73266584,0.4725,-0.236249998212,0.0,0.0,0.0
19,0.4978125,-3583.26025073,0.0,0.0,3583.26025073,0.4978125,-0.248906254768,0.0,0.0,0.0
20,0.516796875,-3608.72222363,0.0,0.0,3608.72222363,0.516796875,-0.25839844346,0.0,0.0,0.0
21,0.53578125,-3634.46326345,0.0,0.0,3634.46326345,0.53578125,-0.267890632153,0.0,0.0,0.0
22,0.5642578125,-3673.54495894,0.0,0.0,3673.54495894,0.5642578125,-0.28212890029,0.0,0.0,0.0
23,0.585615234375,-3703.35778236,0.0,0.0,3703.35778236,0.585615234375,-0.292807608843,0.0,0.0,0.0
24,0.60697265625,-3733.58813544,0.0,0.0,3733.58813544,0.60697265625,-0.303486317396,0.0,0.0,0.0
25,0.628330078125,-3764.24506451,0.0,0.0,3764.24506451,0.628330078125,-0.314165025949,0.0,0.0,0.0
26,0.6496875,-3795.33174408,0.0,0.0,3795.33174408,0.6496875,-0.324843764305,0.0,0.0,0.0
27,0.671044921875,-3826.83817604,0.0,0.0,3826.83817604,0.671044921875,-0.335522472858,0.0,0.0,0.0
28,0.69240234375,-3858.75933375,0.0,0.0,3858.75933375,0.69240234375,-0.346201181412,0.0,0.0,0.0
29,0.713759765625,-3891.06742152,0.0,0.0,3891.06742152,0.713759765625,-0.356879889965,0.0,0.0,0.0
30,0.7351171875,-3923.75240389,0.0,0.0,3923.75240389,0.7351171875,-0.367558598518,0.0,0.0,0.0
31,0.756474609375,-3956.80902729,0.0,0.0,3956.80902729,0.756474609375,-0.378237307072,0.0,0.0,0.0
32,0.77783203125,-3990.23277648,0.0,0.0,3990.23277648,0.77783203125,-0.388916015625,0.0,0.0,0.0
33,0.799189453125,-4024.04881988,0.0,0.0,4024.04881988,0.799189453125,-0.399594724178,0.0,0.0,0.0
34,0.820546875,-4058.29749684,0.0,0.0,4058.29749684,0.820546875,-0.410273432732,0.0,0.0,0.0
35,0.841904296875,-4093.06322867,0.0,0.0,4093.06322867,0.841904296875,-0.420952141285,0.0,0.0,0.0
36,0.86326171875,-4128.45901266,0.0,0.0,4128.45901266,0.86326171875,-0.431630849838,0.0,0.0,0.0
37,0.884619140625,-4164.62716743,0.0,0.0,4164.62716743,0.884619140625,-0.442309558392,0.0,0.0,0.0
38,0.9059765625,-4201.72924511,0.0,0.0,4201.72924511,0.9059765625,-0.452988266945,0.0,0.0,0.0
39,0.921994628906,-4230.38298187,0.0,0.0,4230.38298187,0.921994628906,-0.460997313261,0.0,0.0,0.0
40,0.938012695313,-4259.73657564,0.0,0.0,4259.73657564,0.938012695313,-0.469006359577,0.0,0.0,0.0
41,0.962039794922,-4305.07668352,0.0,0.0,4305.07668352,0.962039794922,-0.481019884348,0.0,0.0,0.0
42,0.980060119629,-4340.53169525,0.0,0.0,4340.53169525,0.980060119629,-0.490030050278,0.0,0.0,0.0
43,0.990030059814,-4360.76168334,0.0,0.0,4360.76168334,0.990030059814,-0.495015025139,0.0,0.0,0.0
44,1.0,-4381.39089128,0.0,0.0,4381.39089128,1.0,-0.5,0.0,0.0,0.0
