Modelo,RMSE_CV_J,R2_CV,Tiempo_s
★ GPR Sq.Exp.,196.75,0.9693,0.3
GPR Rat.Cuad.,211.29,0.9646,0.3
Stepwise Lineal,215.67,0.9631,11.4
GPR Matern 5/2,239.14,0.9546,0.2
GPR Exponencial,286.55,0.9348,0.2
Lineal Interacc.,295.84,0.9305,0.2
Boosted Trees x200,300.14,0.9285,7.2
Lineal Robusto,454.37,0.8361,0.1
Lineal (OLS),457.13,0.8341,0.1
Red Bicapa [10 10],482.2,0.8154,2.7
Árbol Medio,518.8,0.7863,0.2
Red Ancha [100],518.95,0.7862,2
SVM Cúbica,553.37,0.7569,0.1
Red Estrecha [10],557.32,0.7534,2
Árbol Fino,577.96,0.7348,0.2
Bagged Trees  x200,594.87,0.719,6.1
Red Media [25],614.54,0.7002,4.4
Red Tricapa [10 10 10],687.66,0.6246,5.1
Árbol Grueso,901.67,0.3545,0.1
SVM Cuadrática,1001.79,0.2032,0.1
SVM Lineal,1083.2,0.0685,0.2
Ef. Lineal LS,1083.23,0.0684,0.6
Ef. Lineal SVM,1104.3,0.0318,0.1
SVM Gauss. Media,1143.65,-0.0384,0.1
SVM Gauss. Gruesa,1149.51,-0.0491,0.1
Kernel SVM (Gauss),1157.46,-0.0636,0.3
SVM Gauss. Fina,1163.15,-0.0741,0.1
Kernel LS (Gauss),1174.64,-0.0955,0.2
