m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
3.75,92.5,62.5,1000,2.25,77.5,62.5,1000,80,2.75,4812.669975,902673704.3,10554.34048,13.76140668,349.7222404,995.6217723,77.5,1,0,1000,Cartela
2.125,96.25,51.25,1000,3.375,58.75,51.25,1000,80,2.125,1187.801491,825467722.8,4686.679192,10.45361998,113.6258533,1799.72525,138.75,1,0,1000,Cartela
3.625,81.25,96.25,1000,2.875,43.75,96.25,1000,80,2.625,3830.958834,832565607.9,8115.465549,16.10533311,237.8689597,830.2809227,123.75,1,0,1000,Cartela
3.375,88.75,43.75,1000,3.625,51.25,43.75,1000,80,3.375,3173.252199,1030807658,7621.183464,11.95794737,265.3676338,977.6028738,131.25,1,0,1000,Cartela
3.5625,86.875,83.125,1000,3.3125,68.125,83.125,1000,80,2.0625,3995.374557,773475660.7,8561.53801,16.88709131,236.5934123,761.3190693,148.125,1,0,1000,Cartela
2.8125,94.375,75.625,1000,3.5625,45.625,75.625,1000,80,3.3125,1972.511889,807324569.2,6190.538437,14.03024003,140.5900316,1299.956013,125.625,1,0,1000,Cartela
3.8125,64.375,45.625,1000,2.5625,75.625,45.625,1000,80,2.3125,3153.757479,518016780.4,8212.591381,11.00952174,286.4572642,1065.124037,155.625,1,0,1000,Cartela
3.1875,98.125,86.875,1000,2.6875,94.375,86.875,1000,80,3.6875,4592.497281,815909332.6,11900.77869,16.82966321,272.8811161,902.4796129,174.375,1,0,1000,Cartela
2.4375,90.625,94.375,1000,2.4375,71.875,94.375,1000,80,2.9375,2145.455869,762535001.7,6744.427233,13.46257028,159.3645066,860.468375,151.875,1,0,1000,Cartela
3.9375,75.625,49.375,1000,3.9375,86.875,49.375,1000,80,2.4375,4483.065709,592695918.4,11494.96223,15.40585049,290.9976124,1534.929106,166.875,1,0,1000,Cartela
3.28125,95.3125,95.3125,1000,3.15625,87.8125,95.3125,1000,80,2.59375,4371.216627,775596079.2,10335.71826,18.5933099,235.0962067,788.2791587,167.8125,1,0,1000,Cartela
2.65625,99.0625,84.0625,1000,2.03125,54.0625,84.0625,1000,80,2.46875,2009.720397,776747804.9,5781.387294,11.9987848,167.4936613,1305.942053,134.0625,1,0,1000,Cartela
3.90625,91.5625,76.5625,1000,2.78125,61.5625,76.5625,1000,80,3.21875,4977.792415,921847850.1,10520.21539,16.0004518,311.1032411,951.041794,141.5625,1,0,1000,Cartela
