Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-2120.57752323,0.0,0.0,2120.57752323,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-3211.82077248,0.0,0.0,3211.82077248,0.04,-0.019999999553,0.0,0.0,0.0
2,0.06,-3333.35540271,0.0,0.0,3333.35540271,0.06,-0.0299999993294,0.0,0.0,0.0
3,0.08,-3401.18920277,0.0,0.0,3401.18920277,0.08,-0.0399999991059,0.0,0.0,0.0
4,0.1,-3456.01344700,0.0,0.0,3456.01344700,0.1,-0.0500000007451,0.0,0.0,0.0
5,0.12,-3504.24191136,0.0,0.0,3504.24191136,0.12,-0.0599999986589,0.0,0.0,0.0
6,0.14,-3548.34194355,0.0,0.0,3548.34194355,0.14,-0.070000000298,0.0,0.0,0.0
7,0.16,-3589.60205880,0.0,0.0,3589.60205880,0.16,-0.0799999982119,0.0,0.0,0.0
8,0.18,-3628.83234428,0.0,0.0,3628.83234428,0.18,-0.0900000035763,0.0,0.0,0.0
9,0.2,-3666.55104497,0.0,0.0,3666.55104497,0.2,-0.10000000149,0.0,0.0,0.0
10,0.22,-3703.15056111,0.0,0.0,3703.15056111,0.22,-0.109999999404,0.0,0.0,0.0
11,0.24,-3738.90042085,0.0,0.0,3738.90042085,0.24,-0.119999997318,0.0,0.0,0.0
12,0.26,-3774.02563533,0.0,0.0,3774.02563533,0.26,-0.129999995232,0.0,0.0,0.0
13,0.28,-3808.68804280,0.0,0.0,3808.68804280,0.28,-0.140000000596,0.0,0.0,0.0
14,0.3,-3843.02493505,0.0,0.0,3843.02493505,0.3,-0.15000000596,0.0,0.0,0.0
15,0.32,-3877.15418182,0.0,0.0,3877.15418182,0.32,-0.159999996424,0.0,0.0,0.0
16,0.34,-3911.18714350,0.0,0.0,3911.18714350,0.34,-0.170000001788,0.0,0.0,0.0
17,0.36,-3945.19356736,0.0,0.0,3945.19356736,0.36,-0.180000007153,0.0,0.0,0.0
18,0.38,-3979.24984939,0.0,0.0,3979.24984939,0.38,-0.189999997616,0.0,0.0,0.0
19,0.4,-4013.41754404,0.0,0.0,4013.41754404,0.4,-0.20000000298,0.0,0.0,0.0
20,0.42,-4047.73846362,0.0,0.0,4047.73846362,0.42,-0.209999993443,0.0,0.0,0.0
21,0.435,-4073.63573794,0.0,0.0,4073.63573794,0.435,-0.217500001192,0.0,0.0,0.0
22,0.45,-4099.66723182,0.0,0.0,4099.66723182,0.45,-0.22499999404,0.0,0.0,0.0
23,0.4725,-4138.92194913,0.0,0.0,4138.92194913,0.4725,-0.236249998212,0.0,0.0,0.0
24,0.489375,-4168.61694245,0.0,0.0,4168.61694245,0.489375,-0.244687497616,0.0,0.0,0.0
25,0.50625,-4198.50726015,0.0,0.0,4198.50726015,0.50625,-0.253125011921,0.0,0.0,0.0
26,0.523125,-4228.58077035,0.0,0.0,4228.58077035,0.523125,-0.261562496424,0.0,0.0,0.0
