m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
3,70,70,1000,3,70,70,1000,80,3,3049.07309,1218346053,6935.451259,12.96002648,235.2675046,1278.588945,172.4137931,1,172.4137931,827.5862069,Viga
2.5,85,55,1000,2.5,85,55,1000,80,3.5,2681.549472,1208432232,7049.215977,10.94430428,245.0178106,1570.320636,198.2758621,1,198.2758621,801.7241379,Viga
3.5,55,85,1000,3.5,55,85,1000,80,2.5,3044.769751,1104394914,6629.629142,14.9310268,203.9223285,842.3323712,150.862069,1,150.862069,849.137931,Viga
2.25,77.5,77.5,1000,3.75,92.5,77.5,1000,80,2.25,2041.429946,1066662716,6534.908488,15.15150699,134.734449,1146.231811,200,1,200,800,Viga
3.25,47.5,47.5,1000,2.75,62.5,47.5,1000,80,3.25,1877.085702,593090293.7,4430.182893,9.327884469,201.2338069,842.5377266,177.2151899,1,177.2151899,822.7848101,Viga
2.75,62.5,92.5,1000,3.25,47.5,92.5,1000,80,3.75,2443.349944,1258093136,6108.179744,13.76296875,177.5307341,1052.971578,136.3636364,1,136.3636364,863.6363636,Viga
3.75,92.5,62.5,1000,2.25,77.5,62.5,1000,80,2.75,5250.88021,976939330.5,11737.30727,13.76140668,381.5656592,905.6029289,77.5,1,0,1000,Cartela
2.125,96.25,51.25,1000,3.375,58.75,51.25,1000,80,2.125,1294.441307,899115822,4996.464231,10.45361998,123.8270866,1468.378426,138.75,1,0,1000,Cartela
3.125,66.25,81.25,1000,2.375,88.75,81.25,1000,80,3.125,3243.490651,1204422334,7653.273414,13.47433827,240.7161365,1152.438677,181.372549,1,181.372549,818.627451,Viga
2.625,51.25,66.25,1000,3.875,73.75,66.25,1000,80,3.625,1674.896702,1265156751,3902.432635,13.06727154,128.1749367,902.5943563,170.6349206,1,170.6349206,829.3650794,Viga
3.625,81.25,96.25,1000,2.875,43.75,96.25,1000,80,2.625,4211.040729,903457472.7,8872.595058,16.10533311,261.4687134,794.2801506,123.75,1,0,1000,Cartela
2.375,58.75,73.75,1000,2.625,81.25,73.75,1000,80,2.375,1659.82601,1136842878,4403.12566,11.20993084,148.0674621,1161.464438,183.0357143,1,183.0357143,816.9642857,Viga
3.375,88.75,43.75,1000,3.625,51.25,43.75,1000,80,3.375,3567.033601,1123566492,8650.775648,11.95794737,298.2981519,935.5513771,131.25,1,0,1000,Cartela
2.875,73.75,88.75,1000,2.125,66.25,88.75,1000,80,3.875,3043.207699,1169685766,8062.107064,12.60481212,241.4322141,1086.173838,196.0784314,1,196.0784314,803.9215686,Viga
3.875,43.75,58.75,1000,3.125,96.25,58.75,1000,80,2.875,2309.046856,576634627.2,5358.048929,13.35685005,172.8736077,1149.332884,210.3174603,1,210.3174603,789.6825397,Viga
2.0625,71.875,68.125,1000,2.8125,53.125,68.125,1000,80,2.5625,1650.372998,1156206688,4816.729244,9.789149204,168.5920772,1528.604607,149.1935484,1,149.1935484,850.8064516,Viga
