Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-4269.55036416,0.0,0.0,4269.55036416,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-5911.14258825,0.0,0.0,5911.14258825,0.04,-0.019999999553,0.0,0.0,0.0
2,0.06,-6287.36973658,0.0,0.0,6287.36973658,0.06,-0.0299999993294,0.0,0.0,0.0
3,0.08,-6530.23777923,0.0,0.0,6530.23777923,0.08,-0.0399999991059,0.0,0.0,0.0
4,0.11,-6751.31018209,0.0,0.0,6751.31018209,0.11,-0.054999999702,0.0,0.0,0.0
5,0.1325,-6853.95035169,0.0,0.0,6853.95035169,0.1325,-0.0662499964237,0.0,0.0,0.0
6,0.149375,-6904.54044533,0.0,0.0,6904.54044533,0.149375,-0.0746875032783,0.0,0.0,0.0
7,0.16625,-6935.60557235,0.0,0.0,6935.60557235,0.16625,-0.0831250026822,0.0,0.0,0.0
8,0.1915625,-6947.47570151,0.0,0.0,6947.47570151,0.1915625,-0.0957812517881,0.0,0.0,0.0
9,0.210546875,-6947.89640531,0.0,0.0,6947.89640531,0.210546875,-0.10527344048,0.0,0.0,0.0
10,0.22953125,-6941.51092793,0.0,0.0,6941.51092793,0.22953125,-0.114765621722,0.0,0.0,0.0
11,0.2580078125,-6916.40227230,0.0,0.0,6916.40227230,0.2580078125,-0.12900391221,0.0,0.0,0.0
12,0.279365234375,-6899.69179088,0.0,0.0,6899.69179088,0.279365234375,-0.139682620764,0.0,0.0,0.0
13,0.30072265625,-6882.21227945,0.0,0.0,6882.21227945,0.30072265625,-0.150361329317,0.0,0.0,0.0
14,0.332758789063,-6848.65559684,0.0,0.0,6848.65559684,0.332758789063,-0.166379392147,0.0,0.0,0.0
15,0.356785888672,-6826.95454503,0.0,0.0,6826.95454503,0.356785888672,-0.17839294672,0.0,0.0,0.0
16,0.380812988281,-6803.20828254,0.0,0.0,6803.20828254,0.380812988281,-0.190406501293,0.0,0.0,0.0
17,0.416853637695,-6758.05883953,0.0,0.0,6758.05883953,0.416853637695,-0.208426818252,0.0,0.0,0.0
18,0.443884124756,-6727.24112187,0.0,0.0,6727.24112187,0.443884124756,-0.221942067146,0.0,0.0,0.0
19,0.470914611816,-6697.66316294,0.0,0.0,6697.66316294,0.470914611816,-0.23545730114,0.0,0.0,0.0
20,0.511460342407,-6654.56169165,0.0,0.0,6654.56169165,0.511460342407,-0.255730181932,0.0,0.0,0.0
21,0.552006072998,-6623.46332870,0.0,0.0,6623.46332870,0.552006072998,-0.276003032923,0.0,0.0,0.0
22,0.592551803589,-6604.81031925,0.0,0.0,6604.81031925,0.592551803589,-0.296275913715,0.0,0.0,0.0
23,0.63309753418,-6598.41213774,0.0,0.0,6598.41213774,0.63309753418,-0.316548764706,0.0,0.0,0.0
24,0.673643264771,-6604.65617136,0.0,0.0,6604.65617136,0.673643264771,-0.336821645498,0.0,0.0,0.0
25,0.714188995361,-6623.83614236,0.0,0.0,6623.83614236,0.714188995361,-0.357094496489,0.0,0.0,0.0
26,0.754734725952,-6656.04554475,0.0,0.0,6656.04554475,0.754734725952,-0.377367377281,0.0,0.0,0.0
27,0.795280456543,-6701.94917930,0.0,0.0,6701.94917930,0.795280456543,-0.397640228271,0.0,0.0,0.0
28,0.835826187134,-6762.05219871,0.0,0.0,6762.05219871,0.835826187134,-0.417913079262,0.0,0.0,0.0
29,0.876371917725,-6836.75674454,0.0,0.0,6836.75674454,0.876371917725,-0.438185960054,0.0,0.0,0.0
30,0.916917648315,-6926.81084637,0.0,0.0,6926.81084637,0.916917648315,-0.458458811045,0.0,0.0,0.0
31,0.966917648315,-7059.77033605,0.0,0.0,7059.77033605,0.966917648315,-0.483458817005,0.0,0.0,0.0
32,1.0,-7164.89940730,0.0,0.0,7164.89940730,1.0,-0.5,0.0,0.0,0.0
