Tipo,Fuente_Modelo,m1,a1,b1,m2,a2,e_cartela,c,EPM_Modo_J_kg,EPM_IA0_J_kg,EPM_Real_J_kg,Error_Modo_Pct,Error_IA0_Pct,Energia_Real_J,Fuerza_Real_N,Y_Max_Stress_mm,Modo_Fallo
Cat 1,IA_0 (global),4,100,40,2,100,4,80,457.670536557687,457.670536557687,468.9998827,2.41563944048139,2.41563944048139,6051.533711,14180.55539,100,Cartela
Cat 2,IA_0 (global),4,100,40,2,90,4,80,455.842915036324,455.842915036324,442.4141713,3.03533309000125,3.03533309000125,5569.578626,12689.08826,90,Cartela
Cat 3,IA_0 (global),4,100,45,2,100,4,80,452.050138525291,452.050138525291,451.3943647,0.145277362008463,0.145277362008463,6044.993301,13874.45939,100,Cartela
Cat 4,IA_0 (global),4,100,45,2,90,4,80,450.304279822001,450.304279822001,426.9813929,5.46227243383955,5.46227243383955,5583.986953,12669.78897,7.165032214,Cartela
Cat 5,IA_0 (global),4,90,40,2,90,4,80,446.122844102197,446.122844102197,443.7396647,0.537067021900868,0.537067021900868,5307.596833,14067.56251,90,Cartela
Cat 6,IA_0 (global),4,100,50,2,100,4,80,445.397847514082,445.397847514082,457.8811076,2.72631036282536,2.72631036282536,6355.657736,14621.20815,100,Cartela
Cat 7,IA_0 (global),4,90,40,2,80,4,80,444.06959008242,444.06959008242,437.7927145,1.43375514816154,1.43375514816154,5098.998092,12942.91644,80,Cartela
Cat 8,IA_0 (global),4,100,40,2,80,4,80,444.043551650775,444.043551650775,424.3324799,4.64519514401061,4.64519514401061,5208.706727,11867.71708,80,Cartela
Cat 9,IA_0 (global),4,100,50,2,90,4,80,443.727435223116,443.727435223116,433.5520778,2.34697466443918,2.34697466443918,5881.821213,13458.42207,90,Cartela
Cat 10,IA_0 (global),4,90,45,2,90,4,80,441.13362206144,441.13362206144,449.8455673,1.93665245849809,1.93665245849809,5600.497556,14720.91089,90,Cartela
IAv (Viga) #1,IAv (Viga),4,100,40,2,100,3,80,554.937820999888,438.534313548497,437.720880358,26.7789237164147,0.185833764620072,5610.39770989,13024.103982,100,Cartela
IAv (Viga) #2,IAv (Viga),4,100,40,2,90,4,80,551.095975106626,455.842915036357,442.4141713,24.5656244435554,3.03533309000867,5569.578626,12689.08826,90,Cartela
IAv (Viga) #3,IAv (Viga),4,100,40,2,100,4,80,550.87186522754,466.43969859305,468.9998827,17.4567170584796,0.545881609225846,6051.533711,14180.55539,100,Cartela
IAc (Cartela) #1,IAc (Cartela),4,100,40,2,80,4,80,469.457793734025,452.995668266096,424.3324799,10.6344237058307,6.75488908434503,5208.706727,11867.71708,80,Cartela
IAc (Cartela) #2,IAc (Cartela),4,100,45,2,80,4,80,456.748794087998,447.985664749921,412.0558752,10.8463248743403,8.71964015377332,5259.408134,11934.57106,80,Cartela
IAc (Cartela) #3,IAc (Cartela),4,100,40,2,90,3,80,448.964580776497,430.735626565134,402.9177284,11.4283510331876,6.90411371959224,5037.799273,11561.07167,90,Cartela
