Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.02,-5638.29332815,0.0,0.0,5638.29332815,0.02,-0.00999999977648,0.0,0.0,0.0
1,0.04,-7199.67707064,0.0,0.0,7199.67707064,0.04,-0.019999999553,0.0,0.0,0.0
2,0.049,-7293.55840124,0.0,0.0,7293.55840124,0.049,-0.0244999993593,0.0,0.0,0.0
3,0.058,-7191.40554989,0.0,0.0,7191.40554989,0.058,-0.0289999991655,0.0,0.0,0.0
4,0.067,-6993.54919272,0.0,0.0,6993.54919272,0.067,-0.0335000008345,0.0,0.0,0.0
5,0.076,-6790.40298633,0.0,0.0,6790.40298633,0.076,-0.0379999987781,0.0,0.0,0.0
6,0.08275,-6658.65225042,0.0,0.0,6658.65225042,0.08275,-0.0413750000298,0.0,0.0,0.0
7,0.0895,-6539.49090507,0.0,0.0,6539.49090507,0.0895,-0.0447500012815,0.0,0.0,0.0
8,0.099625,-6376.93601864,0.0,0.0,6376.93601864,0.099625,-0.0498124994338,0.0,0.0,0.0
9,0.1148125,-6166.63562285,0.0,0.0,6166.63562285,0.1148125,-0.0574062503874,0.0,0.0,0.0
10,0.13,-5989.06418915,0.0,0.0,5989.06418915,0.13,-0.0649999976158,0.0,0.0,0.0
11,0.15278125,-5744.78792181,0.0,0.0,5744.78792181,0.15278125,-0.0763906240463,0.0,0.0,0.0
12,0.1755625,-5534.24632383,0.0,0.0,5534.24632383,0.1755625,-0.0877812504768,0.0,0.0,0.0
13,0.209734375,-5264.10817800,0.0,0.0,5264.10817800,0.209734375,-0.104867190123,0.0,0.0,0.0
14,0.23536328125,-5110.70426808,0.0,0.0,5110.70426808,0.23536328125,-0.117681637406,0.0,0.0,0.0
15,0.2609921875,-4983.19383338,0.0,0.0,4983.19383338,0.2609921875,-0.130496099591,0.0,0.0,0.0
16,0.28662109375,-4876.86809300,0.0,0.0,4876.86809300,0.28662109375,-0.143310546875,0.0,0.0,0.0
17,0.31225,-4787.62829051,0.0,0.0,4787.62829051,0.31225,-0.156124994159,0.0,0.0,0.0
18,0.33787890625,-4712.95470125,0.0,0.0,4712.95470125,0.33787890625,-0.168939456344,0.0,0.0,0.0
19,0.357100585938,-4666.14055583,0.0,0.0,4666.14055583,0.357100585938,-0.178550288081,0.0,0.0,0.0
20,0.376322265625,-4625.38709291,0.0,0.0,4625.38709291,0.376322265625,-0.18816113472,0.0,0.0,0.0
21,0.405154785156,-4573.14357640,0.0,0.0,4573.14357640,0.405154785156,-0.202577397227,0.0,0.0,0.0
22,0.433987304688,-4532.59394385,0.0,0.0,4532.59394385,0.433987304688,-0.216993659735,0.0,0.0,0.0
23,0.462819824219,-4502.04377223,0.0,0.0,4502.04377223,0.462819824219,-0.231409907341,0.0,0.0,0.0
24,0.49165234375,-4480.35393612,0.0,0.0,4480.35393612,0.49165234375,-0.245826169848,0.0,0.0,0.0
25,0.520484863281,-4466.79731661,0.0,0.0,4466.79731661,0.520484863281,-0.260242432356,0.0,0.0,0.0
26,0.549317382813,-4460.32594607,0.0,0.0,4460.32594607,0.549317382813,-0.274658679962,0.0,0.0,0.0
27,0.578149902344,-4461.14839625,0.0,0.0,4461.14839625,0.578149902344,-0.289074957371,0.0,0.0,0.0
28,0.606982421875,-4468.65264636,0.0,0.0,4468.65264636,0.606982421875,-0.303491204977,0.0,0.0,0.0
29,0.635814941406,-4482.85812968,0.0,0.0,4482.85812968,0.635814941406,-0.317907482386,0.0,0.0,0.0
30,0.664647460938,-4503.46116371,0.0,0.0,4503.46116371,0.664647460938,-0.332323729992,0.0,0.0,0.0
31,0.693479980469,-4531.01440938,0.0,0.0,4531.01440938,0.693479980469,-0.346739977598,0.0,0.0,0.0
32,0.715104370117,-4556.56121529,0.0,0.0,4556.56121529,0.715104370117,-0.357552170753,0.0,0.0,0.0
33,0.736728759766,-4586.41027151,0.0,0.0,4586.41027151,0.736728759766,-0.368364393711,0.0,0.0,0.0
34,0.758353149414,-4620.78741476,0.0,0.0,4620.78741476,0.758353149414,-0.379176586866,0.0,0.0,0.0
35,0.77457144165,-4649.95618082,0.0,0.0,4649.95618082,0.77457144165,-0.387285709381,0.0,0.0,0.0
36,0.786735160828,-4673.88367273,0.0,0.0,4673.88367273,0.786735160828,-0.39336758852,0.0,0.0,0.0
37,0.798898880005,-4699.51986692,0.0,0.0,4699.51986692,0.798898880005,-0.399449437857,0.0,0.0,0.0
38,0.811062599182,-4726.98789923,0.0,0.0,4726.98789923,0.811062599182,-0.405531287193,0.0,0.0,0.0
39,0.823226318359,-4756.38655740,0.0,0.0,4756.38655740,0.823226318359,-0.411613166332,0.0,0.0,0.0
40,0.835390037537,-4787.82592574,0.0,0.0,4787.82592574,0.835390037537,-0.417695015669,0.0,0.0,0.0
41,0.847553756714,-4821.40655121,0.0,0.0,4821.40655121,0.847553756714,-0.423776865005,0.0,0.0,0.0
42,0.859717475891,-4857.26782420,0.0,0.0,4857.26782420,0.859717475891,-0.429858744144,0.0,0.0,0.0
43,0.871881195068,-4895.53780694,0.0,0.0,4895.53780694,0.871881195068,-0.435940593481,0.0,0.0,0.0
44,0.884044914246,-4936.29767109,0.0,0.0,4936.29767109,0.884044914246,-0.442022442818,0.0,0.0,0.0
45,0.896208633423,-4979.68670102,0.0,0.0,4979.68670102,0.896208633423,-0.448104321957,0.0,0.0,0.0
46,0.9083723526,-5025.80752969,0.0,0.0,5025.80752969,0.9083723526,-0.454186171293,0.0,0.0,0.0
47,0.926617931366,-5099.71750801,0.0,0.0,5099.71750801,0.926617931366,-0.463308960199,0.0,0.0,0.0
48,0.953986299515,-5221.88669732,0.0,0.0,5221.88669732,0.953986299515,-0.476993143559,0.0,0.0,0.0
49,0.981354667664,-5360.44951087,0.0,0.0,5360.44951087,0.981354667664,-0.490677326918,0.0,0.0,0.0
50,1.0,-5466.02580595,0.0,0.0,5466.02580595,1.0,-0.5,0.0,0.0,0.0
