m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
3,70,70,1000,3,70,70,1000,95,3,2822.56953167,1125301759.72,6380.61103776,13.0568152005,216.175957792,1257.8028628,181.034482759,1,181.034482759,818.965517241,Viga
2.5,85,55,1000,2.5,85,55,1000,82.5,3.5,2472.30302369,1269003834.39,6101.92868646,10.96080863,225.558451675,1817.3918076,206.896551724,1,206.896551724,793.103448276,Viga
3.5,55,85,1000,3.5,55,85,1000,107.5,2.5,2834.48059365,1000321210.59,5923.3098582,15.0970930436,187.750091058,1110.0367805,185.344827586,1,185.344827586,814.655172414,Viga
2.25,77.5,77.5,1000,3.75,92.5,77.5,1000,88.75,2.25,1985.05790743,1037811786.47,5862.39924995,15.1945253541,130.642969173,1344.8141536,185,1,185,815,Viga
3.25,47.5,47.5,1000,2.75,62.5,47.5,1000,113.75,3.25,1763.22340587,510538783.157,4322.47163149,9.55255324937,184.581374198,1110.2342776,208.860759494,1,208.860759494,791.139240506,Viga
2.75,62.5,92.5,1000,3.25,47.5,92.5,1000,76.25,3.75,2258.37510678,1090865296.63,5188.1794046,13.7312794892,164.469386014,1022.7914374,122.727272727,1,0,1000,Cartela
3.75,92.5,62.5,1000,2.25,77.5,62.5,1000,101.25,2.75,6074.046874,1070165620.52,12891.271575,13.8850990553,437.450741245,2754.8876028,227.272727273,1,227.272727273,772.727272727,Viga
2.125,96.25,51.25,1000,3.375,58.75,51.25,1000,91.875,2.125,0,0,5505.05558358,10.5020239207,0,318.932392,55.0437087571,0,0,1000,Cartela
3.125,66.25,81.25,1000,2.375,88.75,81.25,1000,116.875,3.125,3073.69062582,1259100008.28,6892.00119791,13.7563711595,223.437605033,1176.2969703,225.490196078,1,225.490196078,774.509803922,Viga
2.625,51.25,66.25,1000,3.875,73.75,66.25,1000,79.375,3.625,1523.33525099,1106872619.47,3320.03039557,13.0627707079,116.616549815,1155.4624662,174.603174603,1,174.603174603,825.396825397,Viga
3.625,81.25,96.25,1000,2.875,43.75,96.25,1000,104.375,2.625,4919.87343045,893865142.695,10363.1858356,16.2663095148,302.45787626,968.7013408,148.125,1,0,1000,Cartela
2.375,58.75,73.75,1000,2.625,81.25,73.75,1000,73.125,2.375,1509.17012264,1217469327.39,3954.77478346,11.176935414,135.025395311,1330.1611387,174.107142857,1,174.107142857,825.892857143,Viga
3.375,88.75,43.75,1000,3.625,51.25,43.75,1000,98.125,3.375,0,0,10014.1238184,12.0731936687,0,1146.4474591,51.25,0,0,1000,Cartela
2.875,73.75,88.75,1000,2.125,66.25,88.75,1000,85.625,3.875,2856.42538236,1315994834.72,7316.38332748,12.6546271619,225.721812727,1089.1248453,156.862745098,1,156.862745098,843.137254902,Viga
3.875,43.75,58.75,1000,3.125,96.25,58.75,1000,110.625,2.875,2159.79549805,524096844.451,5174.50689877,13.546029669,159.441220108,1393.1578047,246.031746032,1,246.031746032,753.968253968,Viga
2.0625,71.875,68.125,1000,2.8125,53.125,68.125,1000,118.4375,2.5625,1381.77400421,1058421646.96,4134.38866983,10.0170720479,137.941905339,1540.7546249,193.548387097,1,193.548387097,806.451612903,Viga
3.0625,41.875,98.125,1000,3.8125,83.125,98.125,1000,93.4375,3.5625,1738.75553794,942643789.058,4130.76754325,17.4361850226,99.7210992934,848.3201244,200,1,200,800,Viga
2.5625,56.875,53.125,1000,2.3125,98.125,53.125,1000,105.9375,3.0625,1708.868678,1134530008.32,3655.24187777,10.0037998742,170.821957606,1438.1626153,229.838709677,1,229.838709677,770.161290323,Viga
3.5625,86.875,83.125,1000,3.3125,68.125,83.125,1000,80.9375,2.0625,4062.11245457,770414748.842,8733.56760765,16.8913184897,240.485220681,782.2674387,149.0625,1,0,1000,Cartela
2.3125,49.375,90.625,1000,3.0625,90.625,90.625,1000,99.6875,2.8125,1304.68144598,1065487905.41,3666.26905898,13.8366668762,94.2915991007,983.7832781,210,1,210,790,Viga
3.3125,79.375,60.625,1000,2.0625,60.625,60.625,1000,74.6875,3.8125,3866.43395827,939912598.689,8555.28505002,11.0875767835,348.717671478,1420.2905354,5.53740186251,1,0,1000,Cartela
