m1,a1,b1,l1,m2,a2,b2,l2,c,e_cartela,energy,stress,force,mass_kg,energy_per_mass,sim_time_s,y_max_stress_mm,valid_ansys,pivot_height_mm,lever_arm_mm,modo_fallo
3,70,70,1000,3,70,70,1000,95,3,2822.569532,1125301760,6380.611038,13.0568152,216.1759578,1257.802863,181.0344828,1,181.0344828,818.9655172,Viga
2.5,85,55,1000,2.5,85,55,1000,82.5,3.5,2472.303024,1269003834,6101.928686,10.96080863,225.5584517,1817.391808,206.8965517,1,206.8965517,793.1034483,Viga
3.5,55,85,1000,3.5,55,85,1000,107.5,2.5,2834.480594,1000321211,5923.309858,15.09709304,187.7500911,1110.036781,185.3448276,1,185.3448276,814.6551724,Viga
2.25,77.5,77.5,1000,3.75,92.5,77.5,1000,88.75,2.25,1985.057907,1037811786,5862.39925,15.19452535,130.6429692,1344.814154,185,1,185,815,Viga
3.25,47.5,47.5,1000,2.75,62.5,47.5,1000,113.75,3.25,1763.223406,510538783.2,4322.471631,9.552553249,184.5813742,1110.234278,208.8607595,1,208.8607595,791.1392405,Viga
2.75,62.5,92.5,1000,3.25,47.5,92.5,1000,76.25,3.75,2258.375107,1090865297,5188.179405,13.73127949,164.469386,1022.791437,122.7272727,1,0,1000,Cartela
3.75,92.5,62.5,1000,2.25,77.5,62.5,1000,101.25,2.75,6074.046874,1070165621,12891.27158,13.88509906,437.4507412,2754.887603,227.2727273,1,227.2727273,772.7272727,Viga
2.125,96.25,51.25,1000,3.375,58.75,51.25,1000,91.875,2.125,1354.047323,842538955.5,5448.762582,10.50202392,128.9320357,2034.752071,150.625,1,0,1000,Cartela
3.125,66.25,81.25,1000,2.375,88.75,81.25,1000,116.875,3.125,3073.690626,1259100008,6892.001198,13.75637116,223.437605,1176.29697,225.4901961,1,225.4901961,774.5098039,Viga
2.625,51.25,66.25,1000,3.875,73.75,66.25,1000,79.375,3.625,1523.335251,1106872619,3320.030396,13.06277071,116.6165498,1155.462466,174.6031746,1,174.6031746,825.3968254,Viga
3.625,81.25,96.25,1000,2.875,43.75,96.25,1000,104.375,2.625,4919.87343,893865142.7,10363.18584,16.26630951,302.4578763,968.7013408,148.125,1,0,1000,Cartela
2.375,58.75,73.75,1000,2.625,81.25,73.75,1000,73.125,2.375,1509.170123,1217469327,3954.774783,11.17693541,135.0253953,1330.161139,174.1071429,1,174.1071429,825.8928571,Viga
3.375,88.75,43.75,1000,3.625,51.25,43.75,1000,98.125,3.375,4356.840373,718766432.6,10012.74683,12.07319367,360.8689211,2561.344681,149.375,1,0,1000,Cartela
2.875,73.75,88.75,1000,2.125,66.25,88.75,1000,85.625,3.875,2856.425382,1315994835,7316.383327,12.65462716,225.7218127,1089.124845,156.8627451,1,156.8627451,843.1372549,Viga
3.875,43.75,58.75,1000,3.125,96.25,58.75,1000,110.625,2.875,2159.795498,524096844.5,5174.506899,13.54602967,159.4412201,1393.157805,246.031746,1,246.031746,753.968254,Viga
2.0625,71.875,68.125,1000,2.8125,53.125,68.125,1000,118.4375,2.5625,1381.774004,1058421647,4134.38867,10.01707205,137.9419053,1540.754625,193.5483871,1,193.5483871,806.4516129,Viga
3.0625,41.875,98.125,1000,3.8125,83.125,98.125,1000,93.4375,3.5625,1738.755538,942643789.1,4130.767543,17.43618502,99.72109929,848.3201244,200,1,200,800,Viga
2.5625,56.875,53.125,1000,2.3125,98.125,53.125,1000,105.9375,3.0625,1708.868678,1134530008,3655.241878,10.00379987,170.8219576,1438.162615,229.8387097,1,229.8387097,770.1612903,Viga
3.5625,86.875,83.125,1000,3.3125,68.125,83.125,1000,80.9375,2.0625,4062.112455,770414748.8,8733.567608,16.89131849,240.4852207,782.2674387,149.0625,1,0,1000,Cartela
2.3125,49.375,90.625,1000,3.0625,90.625,90.625,1000,99.6875,2.8125,1304.681446,1065487905,3666.269059,13.83666688,94.2915991,983.7832781,210,1,210,790,Viga
3.3125,79.375,60.625,1000,2.0625,60.625,60.625,1000,74.6875,3.8125,3866.433958,939912598.7,8555.28505,11.08757678,348.7176715,1420.290535,5.537401863,1,0,1000,Cartela
2.8125,94.375,75.625,1000,3.5625,45.625,75.625,1000,112.1875,3.3125,2916.661638,877042408.6,8952.196377,14.28061073,204.2392789,1564.999906,157.8125,1,0,1000,Cartela
3.8125,64.375,45.625,1000,2.5625,75.625,45.625,1000,87.1875,2.3125,3193.366912,528568028.8,8338.323044,11.03975437,289.260685,1080.21539,162.8125,1,0,1000,Cartela
2.1875,68.125,56.875,1000,3.6875,64.375,56.875,1000,96.5625,2.6875,1465.669821,1202188712,3731.263901,11.09593582,132.0906902,1248.663806,180.7692308,1,180.7692308,819.2307692,Viga
3.1875,98.125,86.875,1000,2.6875,94.375,86.875,1000,71.5625,3.6875,4162.388973,792055735.3,10976.61926,16.76263851,248.3134722,866.6121993,165.9375,1,0,1000,Cartela
