Tipo,Fuente_Modelo,m1,a1,b1,m2,a2,e_cartela,c,EPM_Modo_J_kg,EPM_IA0_J_kg,EPM_Real_J_kg,Error_Modo_Pct,Error_IA0_Pct,Energia_Real_J,Fuerza_Real_N,Y_Max_Stress_mm,Modo_Fallo
Cat 1,IA_0 (global),4,100,40,2,80,3,120,562.759844489937,562.759844489937,537.545580126,4.6906281618067,4.6906281618067,6682.2198076,17462.6960013,6.22222222222,Cartela
Cat 2,IA_0 (global),4,100,40,2,70,3,120,562.560059865134,562.560059865134,520.71968124,8.03510605274201,8.03510605274201,6309.55136971,14706.8164002,5.53489296902,Cartela
Cat 3,IA_0 (global),4,100,40,2,80,3,115,556.881691956784,556.881691956784,522.750782543,6.52909771798884,6.52909771798884,6480.35875251,15541.4831229,9.70262067858,Cartela
Cat 4,IA_0 (global),4,100,40,2,90,3,120,556.684064610923,556.684064610923,541.246390416,2.85224520075925,2.85224520075925,6898.17588288,18153.5303681,90,Cartela
Cat 5,IA_0 (global),4,100,40,2,80,4,120,556.050753203739,556.050753203739,537.856811063,3.38267393226488,3.38267393226488,6775.54912879,18130.1198447,6.22222222222,Cartela
Cat 6,IA_0 (global),4,100,40,2,70,4,120,556.019855239895,556.019855239895,536.938285834,3.55377329375138,3.55377329375138,6595.37955974,17509.3210622,5.53489296902,Cartela
Cat 7,IA_0 (global),4,100,40,2,60,3,120,554.057688662009,554.057688662009,506.618379078,9.36391405111358,9.36391405111358,5979.60796431,13504.6487208,10.2780262217,Cartela
Cat 8,IA_0 (global),4,100,40,2,70,3,115,553.601210789832,553.601210789832,503.114735684,10.0347836238973,10.0347836238973,6078.9595153,13848.7923031,5.53489296902,Cartela
Cat 9,IA_0 (global),4,100,40,2,90,4,120,568.157186399717,568.157186399717,539.531550484,5.30564633153298,5.30564633153298,6966.05924774,18750.0312633,90,Cartela
Cat 10,IA_0 (global),4,100,40,2,70,3,115,568.126935554806,568.126935554806,503.114735684,12.9219430996033,12.9219430996033,6078.9595153,13848.7923031,5.53489296902,Cartela
IAv (Viga) #1,IAv (Viga),4,100,40,2,70,3,120,606.137096588757,578.281723589214,520.71968124,16.4037232365312,11.0543243174793,6309.55136971,14706.8164002,5.53489296902,Cartela
IAv (Viga) #2,IAv (Viga),4,100,40,2,70,4,120,605.111806752276,576.639502363001,536.938285834,12.6967144487351,7.39399993936648,6595.37955974,17509.3210622,5.53489296902,Cartela
IAv (Viga) #3,IAv (Viga),4,100,40,2,70,4,115,603.930433283994,567.696613356592,529.42675229,14.0725191297443,7.22854689549744,6478.87788533,17062.6913475,5.53489296902,Cartela
IAc (Cartela) #1,IAc (Cartela),4,100,45,2,70,3,120,507.493224778082,567.005739236687,520.815669609,2.55799616031512,8.86879414791103,6566.42601446,15160.428139,70,Cartela
IAc (Cartela) #2,IAc (Cartela),4,100,50,2,70,3,120,505.257598848742,554.930848743704,520.015730439,2.83801637650449,6.71424271631707,6811.65920791,15628.7156736,70,Cartela
IAc (Cartela) #3,IAc (Cartela),4,100,55,2,70,3,120,502.301683553981,542.326022229384,516.668502365,2.7806647289813,4.96595394279675,7021.48940758,15771.4269634,10,Cartela
