Punto,Time_F,ForceX,ForceY,ForceZ,ForceTotal,Time_D,DispX,DispY,DispZ,DispTotal
0,0.01,-2334.30823330,0.0,0.0,2334.30823330,0.01,-0.00499999988824,0.0,0.0,0.0
1,0.02,-4508.18761416,0.0,0.0,4508.18761416,0.02,-0.00999999977648,0.0,0.0,0.0
2,0.03,-5520.97020656,0.0,0.0,5520.97020656,0.03,-0.0149999996647,0.0,0.0,0.0
3,0.045,-5788.83209111,0.0,0.0,5788.83209111,0.045,-0.0225000008941,0.0,0.0,0.0
4,0.06,-5919.51413918,0.0,0.0,5919.51413918,0.06,-0.0299999993294,0.0,0.0,0.0
5,0.075,-6021.79674271,0.0,0.0,6021.79674271,0.075,-0.0375000014901,0.0,0.0,0.0
6,0.09,-6107.86834545,0.0,0.0,6107.86834545,0.09,-0.0450000017881,0.0,0.0,0.0
7,0.11,-6196.46587700,0.0,0.0,6196.46587700,0.11,-0.054999999702,0.0,0.0,0.0
8,0.13,-6099.00974833,0.0,0.0,6099.00974833,0.13,-0.0649999976158,0.0,0.0,0.0
9,0.139,-6029.20973483,0.0,0.0,6029.20973483,0.139,-0.0694999992847,0.0,0.0,0.0
10,0.148,-5950.85942160,0.0,0.0,5950.85942160,0.148,-0.0740000009537,0.0,0.0,0.0
11,0.157,-5874.80918770,0.0,0.0,5874.80918770,0.157,-0.0785000026226,0.0,0.0,0.0
12,0.166,-5805.44441562,0.0,0.0,5805.44441562,0.166,-0.082999996841,0.0,0.0,0.0
13,0.170725,-5773.55919515,0.0,0.0,5773.55919515,0.170725,-0.0853625014424,0.0,0.0,0.0
14,0.17545,-5743.51267495,0.0,0.0,5743.51267495,0.17545,-0.0877249985933,0.0,0.0,0.0
15,0.1825375,-5700.76775640,0.0,0.0,5700.76775640,0.1825375,-0.091268748045,0.0,0.0,0.0
16,0.19316875,-5642.69243678,0.0,0.0,5642.69243678,0.19316875,-0.0965843722224,0.0,0.0,0.0
17,0.209115625,-5566.68972681,0.0,0.0,5566.68972681,0.209115625,-0.104557812214,0.0,0.0,0.0
18,0.22107578125,-5519.47454647,0.0,0.0,5519.47454647,0.22107578125,-0.11053789407,0.0,0.0,0.0
19,0.2330359375,-5476.56373292,0.0,0.0,5476.56373292,0.2330359375,-0.116517968476,0.0,0.0,0.0
20,0.250976171875,-5414.59579549,0.0,0.0,5414.59579549,0.250976171875,-0.125488087535,0.0,0.0,0.0
21,0.264431347656,-5372.16635845,0.0,0.0,5372.16635845,0.264431347656,-0.132215678692,0.0,0.0,0.0
22,0.277886523438,-5331.17601637,0.0,0.0,5331.17601637,0.277886523438,-0.138943254948,0.0,0.0,0.0
23,0.291341699219,-5291.48930989,0.0,0.0,5291.48930989,0.291341699219,-0.145670846105,0.0,0.0,0.0
24,0.311341699219,-5233.44371191,0.0,0.0,5233.44371191,0.311341699219,-0.155670851469,0.0,0.0,0.0
